
1550820848.165:  AA AA 04 80 02 04 6C 0D
1550820848.165:  AA AA 04 80 02 04 60 19
1550820848.165:  AA AA 04 80 02 04 41 38
1550820848.165:  AA AA 04 80 02 03 D5 A5
1550820848.165:  AA AA 04 80 02 03 14 66
1550820848.165:  AA AA 04 80 02 02 70 0B
1550820848.165:  AA AA 04 80 02 02 40 3B
1550820848.181:  AA AA 04 80 02 02 55 26
1550820848.181:  AA AA 04 80 02 02 80 FB
1550820848.181:  AA AA 04 80 02 02 88 F3
1550820848.181:  AA AA 04 80 02 02 3C 3F
1550820848.181:  AA AA 04 80 02 02 12 69
1550820848.181:  AA AA 04 80 02 02 78 03
1550820848.181:  AA AA 04 80 02 02 F8 83
1550820848.181:  AA AA 04 80 02 02 FB 80
1550820848.181:  AA AA 04 80 02 02 C0 BB
1550820848.181:  AA AA 04 80 02 02 8B F0
1550820848.181:  AA AA 04 80 02 02 9A E1
1550820848.181:  AA AA 04 80 02 02 CC AF
1550820848.181:  AA AA 04 80 02 02 E4 97
1550820848.181:  AA AA 04 80 02 02 BC BF
1550820848.181:  AA AA 04 80 02 02 79 02
1550820848.181:  AA AA 04 80 02 02 53 28
1550820848.181:  AA AA 04 80 02 02 3A 41
1550820848.181:  AA AA 04 80 02 02 02 79
1550820848.181:  AA AA 04 80 02 01 83 F9
1550820848.181:  AA AA 04 80 02 00 B7 C6
1550820848.181:  AA AA 04 80 02 FF DC A2
1550820848.181:  AA AA 04 80 02 FF 18 66
1550820848.181:  AA AA 04 80 02 FE 7E 01
1550820848.181:  AA AA 04 80 02 FE 13 6C
1550820848.181:  AA AA 04 80 02 FD B3 CD
1550820848.181:  AA AA 04 80 02 FD 06 7A
1550820848.181:  AA AA 04 80 02 FC 5F 22
1550820848.181:  AA AA 04 80 02 FC 7C 05
1550820848.181:  AA AA 04 80 02 FC E6 9B
1550820848.181:  AA AA 04 80 02 FC 8E F3
1550820848.181:  AA AA 04 80 02 FB A4 DE
1550820848.181:  AA AA 04 80 02 FA C2 C1
1550820848.181:  AA AA 04 80 02 FA 4D 36
1550820848.181:  AA AA 04 80 02 FA 07 7C
1550820848.181:  AA AA 04 80 02 F9 9D E7
1550820848.181:  AA AA 04 80 02 F9 4C 38
1550820848.181:  AA AA 04 80 02 F9 84 00
1550820848.181:  AA AA 04 80 02 F9 F7 8D
1550820848.181:  AA AA 04 80 02 FA 46 3D
1550820848.181:  AA AA 04 80 02 FA 28 5B
1550820848.181:  AA AA 04 80 02 F9 BA CA
1550820848.181:  AA AA 04 80 02 F9 5A 2A
1550820848.181:  AA AA 04 80 02 F9 9B E9
1550820848.181:  AA AA 04 80 02 FA 29 5A
1550820848.181:  AA AA 04 80 02 FA 3F 44
1550820848.181:  AA AA 04 80 02 F9 8A FA
1550820848.181:  AA AA 04 80 02 F8 86 FF
1550820848.181:  AA AA 04 80 02 F8 00 85
1550820848.181:  AA AA 04 80 02 F8 00 85
1550820848.181:  AA AA 04 80 02 F8 00 85
1550820848.181:  AA AA 04 80 02 F8 00 85
1550820848.181:  AA AA 04 80 02 F8 00 85
1550820848.181:  AA AA 04 80 02 F8 1D 68
1550820848.181:  AA AA 04 80 02 F8 96 EF
1550820848.181:  AA AA 04 80 02 F9 09 7B
1550820848.181:  AA AA 04 80 02 F9 69 1B
1550820848.181:  AA AA 04 80 02 F9 D3 B1
1550820848.181:  AA AA 04 80 02 FA 4A 39
1550820848.181:  AA AA 04 80 02 FA DA A9
1550820848.181:  AA AA 04 80 02 FB A7 DB
1550820848.181:  AA AA 04 80 02 FC 96 EB
1550820848.181:  AA AA 04 80 02 FD 66 1A
1550820848.181:  AA AA 04 80 02 FE 44 3B
1550820848.181:  AA AA 04 80 02 FF 2A 54
1550820848.181:  AA AA 04 80 02 00 08 75
1550820848.181:  AA AA 04 80 02 00 DA A3
1550820848.181:  AA AA 04 80 02 01 82 FA
1550820848.181:  AA AA 04 80 02 02 00 7B
1550820848.181:  AA AA 04 80 02 02 91 EA
1550820848.197:  AA AA 04 80 02 03 3A 40
